instance,n,target,ps_smtj,ps_sa,tts99_smtj,tts99_sa,speedup_sa_over_smtj,energy_min_smtj,energy_min_sa,energy_median_smtj,energy_median_sa,time_median_smtj,time_median_sa,n_trials,n_sweeps,update_mode,schedule
factor_M15,5,,0.26,0.29,1.0539390724855373,0.9172494644535497,0.8703059677732335,-381.0,-381.0,-345.0,-345.0,0.06891090000863187,0.06821659998968244,200,20000,async_numba,geometric
factor_M21,5,,0.135,0.14,2.2026171203052503,2.073563184623531,0.9414088202202686,-789.0,-789.0,-645.0,-645.0,0.06936470000073314,0.06791080001858063,200,20000,async_numba,geometric
factor_M33,7,,0.065,0.065,4.859624124986644,4.817035273224437,0.9912361839790799,-2658.5,-2658.5,-2334.5,-2334.5,0.07092229998670518,0.0703007499978412,200,20000,async_numba,geometric
factor_M35,8,,0.19,0.195,1.5544831927726264,1.4779183813086445,0.9507458093982872,-3888.0,-3888.0,-3692.0,-3692.0,0.07112925002002157,0.06961299999966286,200,20000,async_numba,geometric
factor_M51,9,,0.05,0.045,6.689309556330299,7.453026425763303,1.1141697604217278,-8248.0,-8248.0,-7848.0,-7848.0,0.07450685001094826,0.07451770000625402,200,20000,async_numba,geometric
factor_M65,11,,0.05,0.055,6.848729427491501,6.045841839964864,0.8827683884979067,-19607.0,-19607.0,-18707.0,-18931.0,0.07628249999834225,0.07426770002348348,200,20000,async_numba,geometric
factor_M77,11,,0.095,0.09,3.450168351214637,3.5850754793306483,1.0391016073370787,-27707.0,-27707.0,-26683.0,-26683.0,0.07478485000319779,0.07341985002858564,200,20000,async_numba,geometric
factor_M91,11,,0.06,0.06,5.604740230965784,5.572628912486266,0.9942706856774369,-39159.0,-39159.0,-37043.0,-37043.0,0.07530570001108572,0.07487424998544157,200,20000,async_numba,geometric
factor_M143,15,,0.075,0.065,4.773368901814405,5.316648318585952,1.1138146721836315,-140743.5,-140743.5,-138039.5,-138039.5,0.08080900000641122,0.07759219998843037,200,20000,async_numba,geometric
