instance,n,target,ps_smtj,ps_sa,tts99_smtj,tts99_sa,speedup_sa_over_smtj,energy_min_smtj,energy_min_sa,energy_median_smtj,energy_median_sa,time_median_smtj,time_median_sa,n_trials,n_sweeps,update_mode,schedule
G1,800,-2036.0,0.685,0.74,2.6262424094195294,2.1846960229251415,0.8318714278199546,-2036.0,-2036.0,-2036.0,-2036.0,0.6587790499979747,0.6390526999966823,200,10000,async_numba,geometric
G14,800,-717.0,0.0,0.0,inf,inf,nan,-715.0,-715.0,-707.0,-708.0,0.38694454999495065,0.37949934999778634,200,10000,async_numba,geometric
G22,2000,-3364.0,0.02,0.005,253.62285130371168,1031.317627238026,4.066343477871519,-3364.0,-3364.0,-3361.0,-3362.0,1.1126338499962003,1.1225476000035997,200,10000,async_numba,geometric
