instance,n,target,ps_smtj,ps_sa,tts99_smtj,tts99_sa,speedup_sa_over_smtj,energy_min_smtj,energy_min_sa,energy_median_smtj,energy_median_sa,time_median_smtj,time_median_sa,n_trials,n_sweeps,update_mode,schedule
G1,800,-2036.0,0.685,0.74,4.509859270643103,4.181858880219708,0.9272703712600276,-2036.0,-2036.0,-2036.0,-2036.0,1.1312743999878876,1.22324944997672,200,10000,async_numba,geometric
G14,800,-717.0,0.0,0.0,inf,inf,nan,-715.0,-715.0,-707.0,-708.0,0.8526049499923829,0.8635609500051942,200,10000,async_numba,geometric
G22,2000,-3364.0,0.02,0.005,573.6541282607333,1749.5142699625694,3.0497719510307304,-3364.0,-3364.0,-3361.0,-3362.0,2.516598950023763,1.9042756499547977,200,10000,async_numba,geometric
