M,bp,bq,N_spins,penalty,p_success,constraint_rate,tts99_wall,time_median,n_trials,n_sweeps
51,2,4,7,2602.0,0.0,1.0,inf,0.200489450013265,200,20000
51,2,5,9,2602.0,0.05,1.0,23.933612551772143,0.2665773000335321,200,20000
51,2,6,11,2602.0,0.03,1.0,46.3031520788376,0.30625520000467077,200,20000
51,2,7,13,2602.0,0.025,1.0,41.096471720516114,0.22593575000064448,200,20000
