M,bp,bq,N_spins,penalty,p_success,constraint_rate,tts99_wall,time_median,n_trials,n_sweeps
93,2,4,7,8650.0,0.0,1.0,inf,0.09497899998677894,200,20000
93,2,5,9,8650.0,0.04,1.0,11.181877482252707,0.09912045003147796,200,20000
93,2,6,11,8650.0,0.015,1.0,30.919976682052898,0.1014757999801077,200,20000
93,2,7,13,8650.0,0.015,1.0,31.498455259012363,0.10337430000072345,200,20000
