M,bp,bq,N_spins,penalty,p_success,constraint_rate,product_match_rate,tts99_wall,tts99_sweeps,time_median,best_factors,n_trials,n_sweeps,update_mode,dynamics,schedule,beta0,betaf
15,2,3,5,226.0,0.26,1.0,0.26,2.6398871290327257,305884.5762726998,0.17260674998397008,"(3, 5)",200,20000,async_numba,gibbs,geometric,0.05,30.0
21,2,3,5,442.0,0.135,1.0,0.135,7.616360004425776,635083.0091622886,0.23985400001402013,"(3, 7)",200,20000,async_numba,gibbs,geometric,0.05,30.0
33,2,4,7,1090.0,0.065,1.0,0.065,17.510157813783493,1370407.9325959845,0.25554664997616783,"(3, 11)",200,20000,async_numba,gibbs,geometric,0.05,30.0
35,3,3,8,1226.0,0.19,1.0,0.19,6.385877949799052,437086.9065356567,0.2922017500095535,"(7, 5)",200,20000,async_numba,gibbs,geometric,0.05,30.0
51,2,5,9,2602.0,0.05,1.0,0.05,27.85123481944047,1795622.6992141935,0.3102125500154216,"(3, 17)",200,20000,async_numba,gibbs,geometric,0.05,30.0
65,3,4,11,4226.0,0.05,1.0,0.05,23.177790065670905,1795622.6992141935,0.2581588000175543,"(5, 13)",200,20000,async_numba,gibbs,geometric,0.05,30.0
77,3,4,11,5930.0,0.095,1.0,0.095,11.18136363388432,922691.7887960217,0.24236399997607805,"(7, 11)",200,20000,async_numba,gibbs,geometric,0.05,30.0
91,3,4,11,8282.0,0.06,1.0,0.06,9.953551755903446,1488530.1458297877,0.13373664999380708,"(7, 13)",200,20000,async_numba,gibbs,geometric,0.05,30.0
143,4,4,15,20450.0,0.075,1.0,0.075,8.212531901149822,1181395.3647330606,0.1390310499991756,"(11, 13)",200,20000,async_numba,gibbs,geometric,0.05,30.0
