instance,n,m,cut_bks,cut_best,cut_median,gap_best_pct,gap_median_pct,p_success,tts99_wall,tts99_sweeps,time_median,n_trials,n_sweeps,update_mode,dynamics,schedule,beta0,betaf
G1,800,19176,11624,11624.0,11624.0,0.0,0.0,0.685,4.634118213159381,39865.299441863,1.162444100016728,200,10000,async_numba,gibbs,geometric,0.1,10.0
G14,800,4694,3064,3062.0,3054.0,0.06527415143603443,0.32637075718016106,0.0,inf,inf,0.7924624999868684,200,10000,async_numba,gibbs,geometric,0.1,10.0
G22,2000,19990,13359,13359.0,13356.0,0.0,0.02245677071637253,0.02,889.1986329697369,2279481.7118369876,3.9008807500067633,200,10000,async_numba,gibbs,geometric,0.1,10.0
