instance,n_sweeps,beta0,betaf,p_success,tts_99_wall,time_median,cut_best,cut_median,cut_bks,n_trials,update_mode,schedule
G1,10000,0.1,2.0,0.01,748.2470806511994,1.6329764499969315,11624.0,11619.0,11624.0,100,async_numba,geometric
G1,10000,0.1,5.0,0.53,14.937689547304835,2.4490502000262495,11624.0,11624.0,11624.0,100,async_numba,geometric
G1,10000,0.1,10.0,0.71,9.604980970603968,2.5818284999695607,11624.0,11624.0,11624.0,100,async_numba,geometric
G1,10000,0.1,20.0,0.65,4.920907105181718,1.1217994000180624,11624.0,11624.0,11624.0,100,async_numba,geometric
G1,10000,0.1,50.0,0.49,8.31884131223679,1.2163386500033084,11624.0,11621.0,11624.0,100,async_numba,geometric
