instance,n,target,ps_smtj,ps_sa,tts99_smtj,tts99_sa,speedup_sa_over_smtj,energy_min_smtj,energy_min_sa,energy_median_smtj,energy_median_sa,time_median_smtj,time_median_sa,n_trials,n_sweeps,update_mode,schedule
factor_M15,5,,0.26,0.29,1.1057979793377795,1.259066296269812,1.1386042656940096,-381.0,-381.0,-345.0,-345.0,0.07230165004148148,0.09363779998966493,200,20000,async_numba,geometric
factor_M21,5,,0.135,0.14,3.4515967691846026,2.897507060325674,0.8394685863059764,-789.0,-789.0,-645.0,-645.0,0.10869749999255873,0.09489559999201447,200,20000,async_numba,geometric
factor_M33,7,,0.065,0.065,8.078794582702448,7.7551933103061526,0.959944361861959,-2658.5,-2658.5,-2334.5,-2334.5,0.11790349998045713,0.1131808000500314,200,20000,async_numba,geometric
factor_M35,8,,0.19,0.195,2.451302477443117,2.2102717031834205,0.9016723654148513,-3888.0,-3888.0,-3692.0,-3692.0,0.11216544997296296,0.10410834997310303,200,20000,async_numba,geometric
factor_M51,9,,0.05,0.045,12.19527681852347,15.014411119791218,1.231166077098451,-8248.0,-8248.0,-7848.0,-7848.0,0.13583340001059696,0.15011880002566613,200,20000,async_numba,geometric
factor_M65,11,,0.05,0.055,12.893940143567768,12.394033971790591,0.961229370835372,-19607.0,-19607.0,-18707.0,-18931.0,0.14361525001004338,0.15224949998082593,200,20000,async_numba,geometric
factor_M77,11,,0.095,0.09,7.121695075129505,7.5193278640417445,1.0558340092797371,-27707.0,-27707.0,-26683.0,-26683.0,0.15436779998708516,0.15399059999617748,200,20000,async_numba,geometric
factor_M91,11,,0.06,0.06,12.140265804760901,11.90537202485605,0.9806516773452575,-39159.0,-39159.0,-37043.0,-37043.0,0.16311750002205372,0.15996145000099204,200,20000,async_numba,geometric
factor_M143,15,,0.075,0.065,10.06940778742538,11.482908443302616,1.140375748576039,-140743.5,-140743.5,-138039.5,-138039.5,0.17046635001315735,0.16758379997918382,200,20000,async_numba,geometric
