scenario,n_tile,max_abs_u_off,mean_abs_u_off,p_success,tts99_sweeps,tts99_ratio,energy_min,energy_median,n_trials,n_sweeps,master_seed
baseline,64,0.0,0.0,0.185,45023.55174449123,1.0,-6.877554338927609,-6.768274641449795,200,2000,2024
uncompensated,64,1.5151855494766184,0.7790792347906688,0.065,137040.7932595985,3.0437579433383073,-6.877554338927609,-6.728897624319201,200,2000,2024
predistorted,64,0.06291810889937272,0.03371621423851295,0.175,47877.786329498784,1.063394256437283,-6.877554338927609,-6.769737278062389,200,2000,2024
