block,instance,n_spins,target_kind,target,scenario,n_profile,mapping,profile_label,max_comp_code,dac_mode,dac_bits,dac_span_uT,max_abs_u_offset,mean_abs_u_offset,n_trials,n_sweeps,master_seed,hits,p_success,wilson_lo,wilson_hi,tts99_sweeps,tts99_ratio,ratio_lo,ratio_hi,frac_undefined,energy_min,energy_median,dmedian_vs_baseline,dmed_lo,dmed_hi,residual_median,mean_magnetization,wall_s,predist_bits,predist_span_uT,predist_lsb_mV,predist_lsb_src,predist_code_budget
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,fixed_u,6,10.0,0.064850360478284,0.033427453952495204,200,2000,2024,29,0.145,0.1029,0.2005,58794.231492411745,0.708131903559504,0.3818992655337736,1.2444951749604363,0.0,-56.84259775567446,-56.3594606945829,-0.03825567704164001,-0.2999,0.2308,0.00849955984010831,-0.0028125,15.3,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,fixed_u,6,10.0,2.914928390421685,1.5068907350164116,200,2000,2024,2,0.01,0.0027,0.0357,916421.153106777,11.037597382244103,3.5921271191165234,28.932580945072797,0.13580000000000003,-56.84259775567446,-51.33820887551422,4.982996142027041,4.6897,5.2011,0.09683563203461706,-0.24046875,15.6,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,fixed_u,6,10.0,0.064850360478284,0.032148966041572996,200,2000,2024,29,0.145,0.1029,0.2005,58794.231492411745,0.708131903559504,0.3818992655337736,1.2444951749604363,0.0,-56.84259775567446,-56.27459445212672,0.04661056541453945,-0.2348,0.2615,0.009992564132786107,0.00453125,15.9,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,fixed_u,6,10.0,5.4171235574208305,2.8551569242646027,200,2000,2024,0,0.0,0.0,0.0188,inf,inf,nan,nan,1.0,-55.72441489932189,-49.941085970436916,6.380119047104344,6.1226,6.5857,0.12141443314927647,-0.3565625,15.1,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,fixed_u,6,10.0,0.06546624559232891,0.03310287945624798,200,2000,2024,24,0.12,0.082,0.1723,72049.57722063977,0.8677824843155586,0.4630551451977668,1.5989384484737748,0.0,-56.84259775567446,-56.3678155829558,-0.04661056541453945,-0.326,0.2342,0.008352576966299284,0.0003125,15.2,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,no_offset,,-,-,,fixed_u,6,10.0,0.0,0.0,1000,2000,2024,107,0.107,0.0893,0.1277,81385.9355647861,1.0,nan,nan,nan,-56.84259775567446,-56.39684458278446,0.0,0.0,0.0,0.00784188602368199,0.0005,65.8,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,fixed_u,6,10.0,1.5151855494766184,0.7796317724682355,1000,2000,2024,76,0.076,0.0611,0.0941,116522.85733175837,1.431732110998491,1.0732411929258365,1.9327752226218153,0.0,-56.84259775567446,-53.38237145806494,3.0144731247195224,2.6216,3.0851,0.060873824107802975,-0.134,66.4,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,fixed_u,6,10.0,0.064850360478284,0.033427453952495204,1000,2000,2024,127,0.127,0.1078,0.1491,67812.98149393567,0.8332272772112342,0.6427297741940419,1.0755729472678275,0.0,-56.84259775567446,-56.35110580621,0.045738776574459905,-0.0603,0.141,0.008646542713917333,0.005625,66.6,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,fixed_u,6,10.0,2.914928390421685,1.5068907350164116,1000,2000,2024,7,0.007,0.0034,0.0144,1311152.348509544,16.110306276025053,8.557148696202873,52.07286828381207,0.0010999999999999899,-56.84259775567446,-51.371503771600516,5.025340811183945,4.895,5.1702,0.09624989356732527,-0.24240625,64.2,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,fixed_u,6,10.0,0.064850360478284,0.032148966041572996,1000,2000,2024,126,0.126,0.1069,0.148,68389.43369901729,0.8403102234362947,0.649217076897509,1.0922822051779195,0.0,-56.84259775567446,-56.35110580621,0.045738776574459905,-0.0944,0.1419,0.008646542713917333,0.00840625,64.9,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,fixed_u,6,10.0,5.4171235574208305,2.8551569242646027,1000,2000,2024,0,0.0,0.0,0.0038,inf,inf,nan,nan,1.0,-55.994072706198224,-49.966521868766804,6.430322714017656,6.2879,6.5288,0.12096695362979315,-0.35584375,64.4,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,fixed_u,6,10.0,0.06546624559232891,0.03310287945624798,1000,2000,2024,121,0.121,0.1022,0.1427,71414.3842900562,0.8774782005572427,0.6743415208955564,1.1421244976466012,0.0,-56.84259775567446,-56.35110580621,0.045738776574459905,-0.0748,0.1401,0.008646542713917333,0.00678125,66.9,,,,,
predist_grid,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted_6b_span4_measured,64,identity,"6b_span4_measured (LSB 3.077 mV, residual bound 0.0657 u)",12,none,,,0.064850360478284,0.033427453952495204,1000,2000,2024,466,0.466,0.4353,0.497,14681.121832890643,1.014995242761576,0.8923729051553007,1.1540057347223165,0.0,-72.88284231924007,-72.75793095143962,0.0,0.0,0.1249,0.001713865209226008,-0.00090625,39.3,6,4.0,3.0767,"MEASURED (update_chain 6-bit, +/-4 V_T)",63
predist_grid,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted_6b_span10,64,identity,"6b_span10 (LSB 7.433 mV, residual bound 0.1587 u)",5,none,,,0.15583309174915905,0.08192812725623291,1000,2000,2024,472,0.472,0.4412,0.503,14421.374223340701,0.9970373107307121,0.8758959525212081,1.132721638352007,0.0,-72.88284231924007,-72.75793095143962,0.0,-0.1249,0.1249,0.001713865209226008,0.00015625,38.6,6,10.0,7.433,ANALYTIC ideal step for 6 bit over +/-10 V_T,63
predist_grid,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted_5b_span10,64,identity,"5b_span10 (LSB 15.106 mV, residual bound 0.3226 u)",2,none,,,0.3178016975180192,0.15557813733185427,1000,2000,2024,451,0.451,0.4204,0.482,15359.35187664216,1.0618854106752784,0.930161422113721,1.210331774024201,0.0,-72.88284231924007,-72.75793095143962,0.0,0.0,0.1249,0.001713865209226008,0.00346875,38.1,5,10.0,15.1058,ANALYTIC ideal step for 5 bit over +/-10 V_T,31
predist_grid,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted_4b_span10,64,identity,"4b_span10 (LSB 31.219 mV, residual bound 0.6667 u)",1,none,,,0.6553357488523401,0.3045037077155094,1000,2000,2024,458,0.458,0.4273,0.489,15037.553651438779,1.0396375421929938,0.9110634887989731,1.18469924857303,0.0,-72.88284231924007,-72.75793095143962,0.0,0.0,0.1249,0.001713865209226008,-0.00484375,36.4,4,10.0,31.2187,ANALYTIC ideal step for 4 bit over +/-10 V_T,15
predist_grid,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted_6b_span4_measured,256,even-sample,"6b_span4_measured (LSB 3.077 mV, residual bound 0.0657 u)",41,none,,,0.06546624559232891,0.03310287945624798,1000,2000,2024,499,0.499,0.4681,0.5299,13326.125048715814,0.9213160739930479,0.8115378777020384,1.0471285933169552,0.0,-72.88284231924007,-72.75793095143962,0.0,-0.1249,0.0,0.001713865209226008,0.000625,33.8,6,4.0,3.0767,"MEASURED (update_chain 6-bit, +/-4 V_T)",63
predist_grid,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted_6b_span10,256,even-sample,"6b_span10 (LSB 7.433 mV, residual bound 0.1587 u)",17,none,,,0.15583309174915905,0.07809679149661085,1000,2000,2024,477,0.477,0.4462,0.508,14209.676725605681,0.9824013751699712,0.8640398997551109,1.1192120992859826,0.0,-72.88284231924007,-72.75793095143962,0.0,-0.1249,0.1249,0.001713865209226008,-0.00259375,27.9,6,10.0,7.433,ANALYTIC ideal step for 6 bit over +/-10 V_T,63
predist_grid,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted_5b_span10,256,even-sample,"5b_span10 (LSB 15.106 mV, residual bound 0.3226 u)",8,none,,,0.3214367954932943,0.15916704084418765,1000,2000,2024,513,0.513,0.482,0.5439,12801.186361298507,0.8850238698594102,0.7748656946560151,1.0028715622985398,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.0,0.0,-0.00759375,27.2,5,10.0,15.1058,ANALYTIC ideal step for 5 bit over +/-10 V_T,31
predist_grid,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted_4b_span10,256,even-sample,"4b_span10 (LSB 31.219 mV, residual bound 0.6667 u)",4,none,,,0.6592258747103263,0.32454702136336444,1000,2000,2024,451,0.451,0.4204,0.482,15359.35187664216,1.0618854106752784,0.930161422113721,1.210331774024201,0.0,-72.88284231924007,-72.75793095143962,0.0,0.0,0.1249,0.001713865209226008,0.0154375,27.1,4,10.0,31.2187,ANALYTIC ideal step for 4 bit over +/-10 V_T,15
predist_grid,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted_6b_span4_measured,64,identity,"6b_span4_measured (LSB 3.077 mV, residual bound 0.0657 u)",12,none,,,0.064850360478284,0.033427453952495204,1000,2000,2024,131,0.131,0.1115,0.1533,65595.03667008986,0.9509959721428174,0.7412200093014664,1.2179969926386964,0.0,-56.84259775567446,-56.462225576278975,0.0,-0.1111,0.1111,0.006691674807517303,0.0059375,27.8,6,4.0,3.0767,"MEASURED (update_chain 6-bit, +/-4 V_T)",63
predist_grid,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted_6b_span10,64,identity,"6b_span10 (LSB 7.433 mV, residual bound 0.1587 u)",5,none,,,0.15583309174915905,0.08192812725623291,1000,2000,2024,119,0.119,0.1004,0.1405,72695.43003006757,1.053937380955954,0.8155122205252251,1.3606782621496627,0.0,-56.84259775567446,-56.462225576278975,0.0,-0.0944,0.1485,0.006691674807517303,0.0145,25.5,6,10.0,7.433,ANALYTIC ideal step for 6 bit over +/-10 V_T,63
predist_grid,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted_5b_span10,64,identity,"5b_span10 (LSB 15.106 mV, residual bound 0.3226 u)",2,none,,,0.3178016975180192,0.15557813733185427,1000,2000,2024,90,0.09,0.0738,0.1093,97659.5696650107,1.4158671464692516,1.080172307085934,1.8787194158105007,0.0,-56.84259775567446,-56.03492575781493,0.42729981846404286,0.2704,0.717,0.014208921297565104,-0.01121875,25.0,5,10.0,15.1058,ANALYTIC ideal step for 5 bit over +/-10 V_T,31
predist_grid,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted_4b_span10,64,identity,"4b_span10 (LSB 31.219 mV, residual bound 0.6667 u)",1,none,,,0.6553357488523401,0.3045037077155094,1000,2000,2024,124,0.124,0.105,0.1459,69570.18551087157,1.0086276273435737,0.7829449497812735,1.2967692860525262,0.0,-56.84259775567446,-56.32033322870118,0.14189234757779445,0.0466,0.2716,0.009187907442550765,0.03140625,25.2,4,10.0,31.2187,ANALYTIC ideal step for 4 bit over +/-10 V_T,15
predist_grid,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted_6b_span4_measured,256,even-sample,"6b_span4_measured (LSB 3.077 mV, residual bound 0.0657 u)",41,none,,,0.06546624559232891,0.03310287945624798,1000,2000,2024,111,0.111,0.093,0.132,78280.58414436379,1.1349108712705729,0.8811264613938051,1.46445554163603,0.0,-56.84259775567446,-56.3678155829558,0.09440999332317546,0.0,0.1722,0.008352576966299284,0.00671875,25.9,6,4.0,3.0767,"MEASURED (update_chain 6-bit, +/-4 V_T)",63
predist_grid,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted_6b_span10,256,even-sample,"6b_span10 (LSB 7.433 mV, residual bound 0.1587 u)",17,none,,,0.15583309174915905,0.07809679149661085,1000,2000,2024,136,0.136,0.1161,0.1586,63005.76150153685,0.9134566950714755,0.7135487514827381,1.1641039092722902,0.0,-56.84259775567446,-56.39684458278446,0.06538099349451443,-0.0654,0.1485,0.00784188602368199,0.03196875,27.7,6,10.0,7.433,ANALYTIC ideal step for 6 bit over +/-10 V_T,63
predist_grid,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted_5b_span10,256,even-sample,"5b_span10 (LSB 15.106 mV, residual bound 0.3226 u)",8,none,,,0.3214367954932943,0.15916704084418765,1000,2000,2024,128,0.128,0.1087,0.1501,67245.5216452062,0.9749246814339212,0.7565629153379347,1.2518095647070053,0.0,-56.84259775567446,-56.3678155829558,0.09440999332317546,-0.0457,0.1586,0.008352576966299284,-0.0238125,26.1,5,10.0,15.1058,ANALYTIC ideal step for 5 bit over +/-10 V_T,31
predist_grid,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted_4b_span10,256,even-sample,"4b_span10 (LSB 31.219 mV, residual bound 0.6667 u)",4,none,,,0.6592258747103263,0.32454702136336444,1000,2000,2024,119,0.119,0.1004,0.1405,72695.43003006757,1.053937380955954,0.8155122205252251,1.3606782621496627,0.0,-56.84259775567446,-56.32207680638134,0.14014876989763536,0.0374,0.2716,0.009157233656534626,-0.0103125,27.9,4,10.0,31.2187,ANALYTIC ideal step for 4 bit over +/-10 V_T,15
