block,instance,n_spins,target_kind,target,scenario,n_profile,mapping,profile_label,max_comp_code,dac_mode,dac_bits,dac_span_uT,max_abs_u_offset,mean_abs_u_offset,n_trials,n_sweeps,master_seed,hits,p_success,wilson_lo,wilson_hi,tts99_sweeps,tts99_ratio,ratio_lo,ratio_hi,frac_undefined,energy_min,energy_median,dmedian_vs_baseline,dmed_lo,dmed_hi,residual_median,mean_magnetization,wall_s,predist_bits,predist_span_uT,predist_lsb_mV,predist_lsb_src,predist_code_budget
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,none,,,0.064850360478284,0.032148966041572996,1000,2000,2024,508,0.508,0.477,0.5389,12985.54169003471,0.8977694749824316,0.7894074723594511,1.0177314841537057,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.0,0.0,-0.00209375,33.4,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,none,,,5.4171235574208305,2.8551569242646027,1000,2000,2024,345,0.345,0.3162,0.375,21767.67684915673,1.504931891401323,1.311239012005891,1.732883258938195,0.0,-72.88284231924007,-55.36715591914448,17.39077503229514,14.4298,17.7835,0.24032660970292166,-0.11815625,32.0,,,,,
primary,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,none,,,0.06546624559232891,0.03310287945624798,1000,2000,2024,499,0.499,0.4681,0.5299,13326.125048715814,0.9213160739930479,0.8115378777020384,1.0471285933169552,0.0,-72.88284231924007,-72.75793095143962,0.0,-0.1249,0.0,0.001713865209226008,0.000625,32.8,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,no_offset,,-,-,,none,,,0.0,0.0,200,2000,2024,32,0.16,0.1157,0.2171,52825.70372050297,1.0,nan,nan,nan,-56.84259775567446,-56.5097079305336,0.0,0.0,0.0,0.005856344331265696,-0.0096875,8.5,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,none,,,1.5151855494766184,0.7796317724682355,200,2000,2024,18,0.09,0.0577,0.1378,97659.5696650107,1.848713084481004,1.0463767476815793,3.423714857786682,0.0,-56.84259775567446,-53.671682546487496,2.838025384046105,1.7312,3.1917,0.05578413609484307,-0.1375,8.6,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,none,,,0.064850360478284,0.033427453952495204,200,2000,2024,24,0.12,0.082,0.1723,72049.57722063977,1.363911356521608,0.7928539466155566,2.3721507623615756,0.0,-56.84259775567446,-56.39684458278446,0.11286334774914053,-0.1506,0.3648,0.00784188602368199,0.0028125,8.6,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,none,,,2.914928390421685,1.5068907350164116,200,2000,2024,2,0.01,0.0027,0.0357,916421.153106777,17.348015995309705,5.957185939168659,43.27405320484653,0.13129999999999997,-56.84259775567446,-51.32287450018727,5.186833430346333,4.8572,5.363,0.09710540111506724,-0.250625,8.5,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,none,,,0.064850360478284,0.032148966041572996,200,2000,2024,25,0.125,0.0861,0.178,68975.09410296327,1.305710842356319,0.7649092925968983,2.2372928990459067,0.0,-56.84259775567446,-56.39684458278446,0.11286334774914053,-0.1357,0.3648,0.00784188602368199,0.00890625,8.7,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,none,,,5.4171235574208305,2.8551569242646027,200,2000,2024,0,0.0,0.0,0.0188,inf,inf,nan,nan,1.0,-52.033427237729725,-49.87656709864779,6.633140831885811,6.3169,6.7073,0.12254947754092166,-0.38328125,8.4,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,none,,,0.06546624559232891,0.03310287945624798,200,2000,2024,22,0.11,0.0738,0.1609,79035.7740601823,1.4961613096222048,0.8650413519603432,2.6508206706153086,0.0,-56.84259775567446,-56.32033322870118,0.18937470183242056,-0.0611,0.4952,0.009187907442550765,0.01515625,8.6,,,,,
