idx,s0,s1,s2,s3,s_final,mz0,mz1,mz2,mz3,mz_final
886,AP,P,X,AP,P,-0.9946,0.7672,-0.1222,-0.404,0.5495
887,AP,P,P,P,AP,-0.9972,0.8677,0.6037,0.9651,-0.2605
888,AP,AP,P,P,P,-0.9994,-0.9254,0.6772,0.3743,0.315
889,AP,AP,P,AP,X,-0.9808,-0.2786,0.723,-0.6957,-0.1879
890,AP,AP,P,X,P,-0.997,-0.992,0.9545,-0.0916,0.4653
891,AP,P,P,X,X,-0.988,0.7096,0.5199,0.0396,-0.1714
892,AP,AP,AP,P,X,-0.9955,-0.9847,-0.9623,0.8352,-0.011
893,AP,AP,X,AP,AP,-0.9895,-0.9768,0.1427,-0.6426,-0.2032
894,AP,P,P,AP,P,-0.9963,0.6365,0.7573,-0.2517,0.7119
895,AP,AP,P,P,P,-0.9972,-0.347,0.9127,0.6882,0.5976
896,AP,P,P,AP,X,-0.991,0.8193,0.4594,-0.2467,0.0809
897,AP,AP,AP,P,P,-0.993,-0.3351,-0.218,0.7173,0.2041
898,AP,P,P,P,AP,-0.9973,0.6817,0.8237,0.7463,-0.2389
899,AP,P,AP,P,X,-0.9982,0.7243,-0.2482,0.8614,-0.0901
900,AP,P,AP,P,P,-0.9865,0.6702,-0.5234,0.7222,0.4181
901,AP,P,P,P,P,-0.9871,0.4003,0.585,0.5936,0.666
902,AP,P,AP,P,P,-0.9991,0.2938,-0.304,0.5569,0.5161
903,AP,P,X,P,X,-0.998,0.5718,-0.149,0.6507,-0.1343
904,AP,AP,P,P,P,-0.9956,-0.9616,0.55,0.7136,0.5681
905,AP,P,P,X,X,-0.9936,0.9018,0.8148,-0.1569,0.0712
906,AP,P,P,P,P,-0.9887,0.7672,0.3951,0.8931,0.8302
907,AP,P,P,P,X,-0.9984,0.4782,0.9254,0.9934,-0.075
908,AP,P,X,P,X,-0.9963,0.4067,-0.1366,0.4954,-0.1226
909,AP,AP,P,P,X,-0.9986,-0.9857,0.5338,0.4442,0.0846
910,AP,P,P,AP,P,-0.9851,0.6659,0.6273,-0.5652,0.7854
911,AP,P,P,X,P,-0.9955,0.8543,0.5035,0.1057,0.6135
912,AP,P,AP,AP,P,-0.9934,0.8479,-0.2082,-0.3293,0.4921
913,AP,P,P,P,P,-0.9855,0.5728,0.5117,0.7813,0.3419
914,AP,X,P,P,P,-0.9995,-0.1073,0.8092,0.6184,0.4535
915,AP,P,P,P,P,-0.9993,0.3229,0.3023,0.5179,0.6059
916,AP,X,P,AP,P,-0.9924,0.1085,0.7619,-0.9483,0.7011
917,AP,AP,AP,AP,AP,-0.9976,-0.9625,-0.9928,-0.3203,-0.369
918,AP,P,P,P,P,-0.9883,0.6961,0.4486,0.8547,0.4797
919,AP,AP,P,P,P,-0.9949,-0.987,0.4109,0.8765,0.9764
920,AP,P,P,AP,P,-0.995,0.3918,0.3589,-0.3782,0.9903
921,AP,X,X,P,P,-0.9971,0.0264,0.0637,0.4615,0.7315
922,AP,P,P,P,X,-0.9893,0.7015,0.5753,0.599,-0.1762
923,AP,P,X,P,P,-0.9887,0.5891,-0.1894,0.5836,0.5668
924,AP,AP,P,P,P,-0.9981,-0.3171,0.8216,0.8533,0.659
925,AP,AP,P,X,P,-0.9985,-0.812,0.4455,0.0012,0.2112
926,AP,AP,AP,AP,P,-0.9864,-0.2091,-0.2964,-0.4497,0.9581
927,AP,AP,P,P,P,-0.9938,-0.312,0.7425,0.9731,0.9958
928,AP,AP,P,P,X,-0.9936,-0.9954,0.722,0.4277,-0.0862
929,AP,X,X,P,P,-0.9963,-0.1025,-0.1591,0.5939,0.8786
930,AP,X,P,P,P,-0.9996,-0.1785,0.3888,0.9178,0.9966
931,AP,X,P,P,X,-0.9955,0.1819,0.7995,0.4854,0.0404
932,AP,X,P,P,P,-0.9791,-0.1636,0.7062,0.9474,0.6111
933,AP,P,AP,P,X,-0.9889,0.8501,-0.2938,0.8216,-0.1694
934,AP,AP,AP,AP,P,-0.9952,-0.8868,-0.9764,-0.2797,0.9828
935,AP,P,P,P,P,-0.996,0.6467,0.744,0.6895,0.96
936,AP,P,P,P,P,-0.9854,0.2196,0.3379,0.8176,0.4016
937,AP,P,AP,X,P,-0.9953,0.6689,-0.3193,-0.1173,0.5717
938,AP,AP,P,AP,P,-0.9713,-0.3909,0.5763,-0.2219,0.241
939,AP,P,P,P,P,-0.987,0.7705,0.9907,0.5245,0.8765
940,AP,P,P,X,P,-0.9933,0.7046,0.534,0.0673,0.6327
941,AP,AP,P,P,AP,-0.9923,-0.9406,0.4278,0.8504,-0.2167
942,AP,P,P,P,P,-0.9913,0.7703,0.5518,0.6927,0.4892
943,AP,P,X,P,P,-0.9837,0.8137,-0.0174,0.4478,0.3583
944,AP,P,P,P,P,-0.9862,0.438,0.7114,0.9231,0.6546
945,AP,P,P,X,X,-0.9995,0.5483,0.86,-0.1198,-0.1891
946,AP,X,P,AP,P,-0.9804,0.075,0.8348,-0.3535,0.5799
947,AP,P,P,P,P,-0.9961,0.349,0.7945,0.4901,0.8877
948,AP,X,X,P,AP,-0.9996,-0.1541,-0.1824,0.3816,-0.364
949,AP,P,P,X,P,-0.9967,0.9148,0.6505,0.0706,0.5513
950,AP,P,P,P,P,-0.97,0.8009,0.9762,0.7682,0.8784
951,AP,P,P,P,AP,-0.9886,0.8437,0.8109,0.5915,-0.2935
952,AP,AP,AP,P,P,-0.9995,-0.282,-0.3572,0.7615,0.7878
953,AP,P,P,P,X,-0.9987,0.5279,0.7965,0.7085,-0.0037
954,AP,P,AP,P,P,-0.9855,0.7264,-0.2291,0.5433,0.4553
955,AP,P,X,P,P,-0.983,0.5689,-0.1045,0.9064,0.9862
956,AP,P,P,AP,X,-0.9956,0.4555,0.7691,-0.3352,-0.0768
957,AP,AP,P,X,AP,-0.9988,-0.9868,0.6096,0.1124,-0.7001
958,AP,X,P,P,AP,-0.9819,-0.0522,0.3543,0.4645,-0.5835
959,AP,X,P,P,P,-0.9938,-0.1547,0.7021,0.878,0.4158
960,AP,P,AP,P,P,-0.9931,0.4106,-0.4017,0.7486,0.559
961,AP,P,P,AP,P,-0.9925,0.4691,0.7771,-0.5728,0.5534
962,AP,P,P,P,P,-0.9938,0.995,0.9899,0.2914,0.5059
963,AP,AP,X,X,P,-0.995,-0.2971,-0.1923,0.098,0.6535
964,AP,P,X,P,P,-0.9999,0.7588,-0.1188,0.506,0.5101
965,AP,AP,AP,P,P,-0.9966,-0.2892,-0.2777,0.7692,0.6953
966,AP,P,P,P,P,-0.9935,0.3063,0.5082,0.7022,0.3791
967,AP,P,P,P,AP,-0.9936,0.8323,0.98,0.782,-0.3029
968,AP,P,P,AP,X,-0.9781,0.2843,0.9405,-0.2611,0.1327
969,AP,P,P,AP,P,-0.9986,0.3993,0.7341,-0.9011,0.7434
970,AP,X,AP,AP,P,-0.9928,-0.0583,-0.2551,-0.2475,0.6321
971,AP,AP,P,AP,AP,-0.9958,-0.9948,0.8753,-0.2518,-0.2562
972,AP,P,X,P,X,-0.9949,0.6881,-0.1993,0.6132,0.1315
973,AP,P,X,P,P,-0.9877,0.7951,0.174,0.8045,0.7258
974,AP,X,P,P,P,-0.9895,-0.1721,0.7955,0.7563,0.4037
975,AP,X,P,P,X,-0.9972,0.1127,0.5181,0.5061,-0.0195
976,AP,P,P,AP,P,-0.997,0.8052,0.5418,-0.2868,0.5505
977,AP,AP,P,P,AP,-0.999,-0.9982,0.8817,0.9818,-0.2117
978,AP,P,P,AP,X,-0.9885,0.5729,0.7502,-0.3291,-0.1674
979,AP,P,P,P,P,-0.9833,0.6237,0.7313,0.767,0.5215
980,AP,AP,P,P,P,-0.9822,-0.4132,0.6249,0.4895,0.6431
981,AP,P,P,P,P,-0.9933,0.2737,0.6509,0.3688,0.976
982,AP,P,P,AP,P,-0.9899,0.5742,0.4705,-0.2739,0.4161
983,AP,P,P,P,X,-0.9888,0.7623,0.6475,0.4795,-0.0675
984,AP,AP,P,P,AP,-0.9974,-0.2455,0.8687,0.9203,-0.2161
985,AP,P,AP,P,X,-0.996,0.4524,-0.4328,0.8471,-0.1724
986,AP,AP,AP,P,AP,-0.9874,-0.8649,-0.9975,0.859,-0.308
987,AP,P,P,P,P,-0.982,0.7767,0.8371,0.6353,0.7606
988,AP,P,P,P,X,-0.9895,0.7817,0.5026,0.7934,0.0327
989,AP,AP,AP,AP,P,-0.9837,-0.2036,-0.2384,-0.2691,0.6846
990,AP,AP,AP,X,X,-0.9859,-0.3178,-0.3749,-0.0089,-0.072
991,AP,P,P,P,X,-0.9989,0.4109,0.4328,0.4509,-0.0875
992,AP,P,X,P,P,-0.9931,0.6233,0.0989,0.5009,0.8274
993,AP,AP,AP,AP,X,-0.9935,-0.3009,-0.4875,-0.3762,0.0914
994,AP,P,P,P,P,-0.9779,0.9244,0.474,0.6404,0.7635
995,AP,P,P,P,P,-0.9862,0.5472,0.4899,0.787,0.6274
996,AP,X,AP,P,X,-0.9969,0.1031,-0.2895,0.8152,-0.0285
997,AP,AP,AP,P,P,-0.9903,-0.3401,-0.3698,0.9003,0.5185
998,AP,AP,P,AP,P,-0.9982,-0.3082,0.7706,-0.365,0.6189
999,AP,AP,P,P,AP,-0.9999,-0.9615,0.6367,0.8416,-0.3663
