block,instance,n,n_sweeps,p_s,deg_mean,coupling,b_accum,e_accum_fJ,e_accum_provenance,synapse_on,synapse_pJ_per_update,k,n_par,share,rail_vt,platform,e_update_pJ,tts_s,energy_J,energy_ratio_vs_cmos,tts_ratio_vs_cmos
caliber,factor_M15,5,20000,0.26,4.0,rand_core,8,681.48,MEASURED,1,2.7259,3,64,1.0,4.0,cpu-numba,3959460.399957606,0.2162746190552798,6.055689333547835,512489.87661646993,141.40929999848595
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.00047631225687171645,2.48634998087036e-06,0.15660000000000002,0.15
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.008900688373409476,4.659921579728293e-05,2.9350000000000005,2.803
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.003175415045811443,1.5877075229057214e-05,1.0,1.0
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0006350830091622887,0.003175415045811443,200.00000000000003,0.2
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,0.44903321883285635,12.572930127319978,791892.0799915214,141.40929999848595
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),1,3.0337,3,64,1.0,4.0,sMTJ-array,3.8166671249999964,0.00047631225687171645,1.2119502213578894e-05,0.4750840513571813,0.15
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),1,3.0337,3,64,1.0,4.0,sMTJ-array-e2e,17.708667124999998,0.008900688373409476,5.623236802999147e-05,2.2043068065257945,2.803
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),1,3.0337,3,64,1.0,4.0,cmos-pbit,8.033667124999997,0.003175415045811443,2.5510227461765746e-05,1.0,1.0
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),1,3.0337,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0006350830091622887,0.003175415045811443,124.47615571326034,0.2
caliber,factor_M21,5,20000,0.135,4.0,rand_core,9,758.42,ANALYTIC (measured linear fit in b),1,3.0337,3,64,1.0,4.0,cpu-numba,3959460.399957606,0.44903321883285635,12.572930127319978,492858.4092856111,141.40929999848595
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.0010278059494469886,7.5112058785585925e-06,0.15660000000000002,0.15
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.01920626717533273,0.00014077515487592255,2.9350000000000005,2.8030000000000004
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.006852039662979924,4.7964277640859464e-05,1.0,1.0
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.001370407932595985,0.009592855528171894,200.00000000000003,0.2
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,1.3565189852253936,37.98253158631102,791892.0799915213,197.9730199978803
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),1,5.5406,3,64,1.0,4.0,sMTJ-array,6.323553562499997,0.0010278059494469886,6.0660935749719165e-05,0.5999261352835613,0.15
