part,instance,n,arm,channel,label,hits,n_trials,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,energy_min,energy_median,n_sweeps,wall_s
b,ER14,14,fact12,--+++-,MEASURED,14,200,0.07,0.0422,0.1141,126915.4,2.818867475977546,1.5984987409508078,5.724160329263606,-6.877554338927609,-6.66192021719717,2000,6.2
b,ER14,14,fact13,+-++--,MEASURED,18,200,0.09,0.0577,0.1378,97659.6,2.169077424616097,1.2713341405159444,3.988868498970407,-6.877554338927609,-6.550789613988348,2000,6.4
b,ER14,14,fact14,-+++-+,MEASURED,37,200,0.185,0.1373,0.2446,45023.6,1.0,0.6321597650038623,1.6050054578964987,-6.877554338927609,-6.768274641449795,2000,6.4
b,ER14,14,fact15,++++++,MEASURED,33,200,0.165,0.12,0.2227,51076.7,1.1344450630800154,0.7017324047370719,1.8471161461065644,-6.877554338927609,-6.768274641449795,2000,6.2
c,ER14,14,pdk_joint,d2d,"joint (V_th, slope) resampled from the 15-device ensemble",0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-6.728897624319201,-4.993978452822046,2000,3.8
c,ER14,14,pdk_shuffled,d2d,"same marginals, pairing destroyed (correlation control)",0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-6.768274641449795,-4.395566075806942,2000,3.9
c,ER14,14,pdk_gain_only,d2d,"empirical gain marginal, no threshold channel",33,200,0.165,0.12,0.2227,51076.7,1.1344450630800154,0.7017324047370719,1.8471161461065644,-6.877554338927609,-6.771199914674983,2000,4.1
c,ER14,14,pdk_offset_only,d2d,"empirical threshold channel, no gain dispersion",0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-5.194761689574864,-4.993978452822046,2000,3.8
c,ER14,14,indep_gauss_matched,d2d,device_model independent Gaussian gain at matched CV=0.254,32,200,0.16,0.1157,0.2171,52825.7,1.1732904596307496,0.7359809056301774,1.899755322057505,-6.877554338927609,-6.768274641449795,2000,4.2
c,ER14,14,pdk_calibrated,d2d,"per-row trim on the 6-bit grid (LSB 0.127 V_T, range +/-4 V_T)",14,200,0.07,0.0422,0.1141,126915.4,2.818867475977546,1.5984987409508078,5.724160329263606,-6.877554338927609,-6.728897624319201,2000,3.8
c,ER14,14,pdk_offset_ensemble_VT,d2d,threshold channel normalised by the ensemble's own V_T (optimistic bound),5,200,0.025,0.0107,0.0572,363789.0,8.07997145203928,3.750429660336789,34.783427905943235,-6.877554338927609,-6.728897624319201,2000,16.6
c,ER14,14,pdk_joint_dac,d2d,joint mismatch behind the 6-bit DAC at +/-4 V_T,0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-6.728897624319201,-4.993978452822046,2000,22.4
c,ER14,14,pdk_calibrated_dac,d2d,trimmed mismatch behind the 6-bit DAC at +/-4 V_T,1,200,0.005,0.0009,0.0278,1837459.1,40.811064115297185,10.362977812638817,53.44183741217908,-6.877554338927609,-5.0333554699526415,2000,16.4
a,G1,800,ideal,-,MEASURED,144,200,0.72,0.6541,0.7776,36176.7,1.0,nan,nan,-2036.0,-2036.0,10000,63.5
a,G1,800,ideal_n1000,-,MEASURED (baseline for the composition statistic),696,1000,0.696,0.6668,0.7237,38675.3,1.0,,,-2036.0,-2036.0,10000,366.1
a,G1,800,single_g_dev,g_dev,MEASURED (V_T ratio 23.414/22.43),146,200,0.73,0.6646,0.7868,35171.9,0.9722243040669538,0.7572865864148793,1.2514097385830574,-2036.0,-2036.0,10000,83.3
a,G1,800,single_h_off,h_off,ANALYTIC (Chapter-2 P->AP offset is 0),,0,,,,,1.0,1.0,1.0,,,10000,0.0
a,G1,800,single_sigma_c2c,sigma_c2c,ANALYTIC (Chapter-2 slope absorbs C2C),,0,,,,,1.0,1.0,1.0,,,10000,0.0
