instance,schedule,n_trials,hits,p_s,wilson_lo,wilson_hi,tts99_sweeps,n_classes,mean_class_size,max_class_size,energy_min,energy_median,source
G1,async,200,137,0.685,0.617649,0.745378,39865.3,,,,-2036.0,-2036.0,this-run
G1,chromatic,200,131,0.655,0.586755,0.717403,43273.1,19,42.11,64,-2036.0,-2036.0,this-run
G1,fixed64,200,138,0.69,0.622827,0.750012,39320.7,13,61.54,64,-2036.0,-2036.0,this-run
G14,async,200,0,0.0,0.0,0.018846,inf,,,,-715.0,-707.0,this-run
G14,chromatic,200,0,0.0,0.0,0.018846,inf,7,114.29,165,-716.0,-707.0,this-run
G14,fixed64,200,0,0.0,0.0,0.018846,inf,13,61.54,64,-715.0,-707.0,this-run
G22,async,2000,8,0.004,0.002028,0.007874,11489884.2,,,,-3364.0,-3361.0,reused-RX01
G22,chromatic,2000,9,0.0045,0.002369,0.008531,10210668.4,12,166.67,311,-3364.0,-3361.0,this-run
G22,fixed64,2000,6,0.003,0.001376,0.00653,15327529.9,32,62.5,64,-3364.0,-3361.0,this-run
