scope,n,er_seed,axis,value,n_seeds,n_trials,hits,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,ratio_geomean,ratio_min,ratio_max,target,source
per_seed,14,1,k,4,1,200,76,0.38,0.3156,0.4489,19267.1,0.8851220818863673,0.6372784256657406,1.2293781884389305,,,,-6.797095245275903,this-run
per_seed,14,1,k,5,1,200,74,0.37,0.3061,0.4388,19934.3,0.9157739618434181,0.6547772169610147,1.288285070506528,,,,-6.797095245275903,this-run
per_seed,14,1,bits,6,1,200,17,0.085,0.0537,0.1319,103683.6,4.763191064171771,2.9389778859943974,9.007716605324925,,,,-6.797095245275903,dedup(span@4)
per_seed,14,2,baseline,0,1,200,128,0.64,0.5714,0.7033,9015.2,1.0,nan,nan,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,2,1,200,29,0.145,0.1029,0.2005,58794.2,6.521713370623075,4.453630915341401,10.331531593212091,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,3,1,200,47,0.235,0.1816,0.2984,34382.4,3.81384710924178,2.741091954198918,5.470827704643499,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,4,1,200,45,0.225,0.1726,0.2877,36134.3,4.008169134290484,2.895882414037688,5.789792859742442,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,5,1,200,39,0.195,0.1461,0.2554,42461.0,4.709958555585023,3.350286668110736,7.044618574262338,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,8,1,200,40,0.2,0.1505,0.2609,41275.4,4.578448453988205,3.2657299274721936,6.76559885633757,,,,-7.3421235819381305,this-run
per_seed,14,2,span,2.0,1,200,5,0.025,0.0107,0.0572,363789.0,40.35306880303118,19.86782947394237,190.42473425577006,,,,-7.3421235819381305,this-run
per_seed,14,2,span,3.0,1,200,21,0.105,0.0697,0.1552,83027.2,9.209743746667751,6.03508873088742,16.051625216843863,,,,-7.3421235819381305,this-run
per_seed,14,2,span,4.0,1,200,41,0.205,0.1549,0.2663,40147.4,4.4533244224475235,3.172523328576404,6.521713370623075,,,,-7.3421235819381305,this-run
per_seed,14,2,span,6.0,1,200,86,0.43,0.3633,0.4993,16385.0,1.817500202426776,1.3782389954850875,2.4178603312123332,,,,-7.3421235819381305,this-run
per_seed,14,2,span,8.0,1,200,119,0.595,0.5258,0.6606,10189.9,1.130309965666316,0.8725155485811936,1.4669770901909012,,,,-7.3421235819381305,this-run
per_seed,14,2,k,1,1,200,121,0.605,0.5359,0.6702,9915.6,1.099886724716938,0.8492627322084754,1.4272998685197658,,,,-7.3421235819381305,this-run
per_seed,14,2,k,2,1,200,134,0.67,0.6022,0.7314,8307.6,0.921516812179742,0.7177575556707124,1.179972446848546,,,,-7.3421235819381305,this-run
per_seed,14,2,k,3,1,200,137,0.685,0.6176,0.7454,7973.1,0.8844066834258937,0.6872805073919613,1.1334426907647899,,,,-7.3421235819381305,this-run
per_seed,14,2,k,4,1,200,135,0.675,0.6073,0.7361,8194.8,0.908998923131382,0.7006297387086359,1.177366258776953,,,,-7.3421235819381305,this-run
per_seed,14,2,k,5,1,200,134,0.67,0.6022,0.7314,8307.6,0.921516812179742,0.7177575556707124,1.179972446848546,,,,-7.3421235819381305,this-run
per_seed,14,2,bits,6,1,200,41,0.205,0.1549,0.2663,40147.4,4.4533244224475235,3.172523328576404,6.521713370623075,,,,-7.3421235819381305,dedup(span@4)
per_seed,14,3,baseline,0,1,200,38,0.19,0.1417,0.25,43708.7,1.0,nan,nan,,,,-8.72723550198506,this-run
per_seed,14,3,bits,2,1,200,17,0.085,0.0537,0.1319,103683.6,2.3721507623615756,1.3639113565216079,4.576520562184625,,,,-8.72723550198506,this-run
per_seed,14,3,bits,3,1,200,14,0.07,0.0422,0.1141,126915.4,2.903665695947471,1.6281144421956029,6.086458102266845,,,,-8.72723550198506,this-run
per_seed,14,3,bits,4,1,200,13,0.065,0.0384,0.108,137040.8,3.1353214020017517,1.7464877660540803,6.68676029440647,,,,-8.72723550198506,this-run
per_seed,14,3,bits,5,1,200,15,0.075,0.046,0.12,118139.5,2.7028843625099177,1.5319780743730986,5.466257931211323,,,,-8.72723550198506,this-run
per_seed,14,3,bits,8,1,200,15,0.075,0.046,0.12,118139.5,2.7028843625099177,1.5319780743730986,5.466257931211323,,,,-8.72723550198506,this-run
per_seed,14,3,span,2.0,1,200,5,0.025,0.0107,0.0572,363789.0,8.323036158833677,3.837485450830876,37.17267301716857,,,,-8.72723550198506,this-run
per_seed,14,3,span,3.0,1,200,9,0.045,0.0239,0.0833,200033.7,4.576520562184625,2.4025316602886906,11.667858659549822,,,,-8.72723550198506,this-run
per_seed,14,3,span,4.0,1,200,16,0.08,0.0498,0.126,110460.1,2.5271883572033498,1.4452341563675675,4.976048174904565,,,,-8.72723550198506,this-run
per_seed,14,3,span,6.0,1,200,22,0.11,0.0738,0.1609,79035.8,1.8082393427572214,1.0751008965321593,3.213061196289425,,,,-8.72723550198506,this-run
per_seed,14,3,span,8.0,1,200,35,0.175,0.1286,0.2336,47877.8,1.095383678019031,0.6894507069829608,1.747853089680867,,,,-8.72723550198506,this-run
per_seed,14,3,k,1,1,200,44,0.22,0.1682,0.2824,37069.5,0.848103833572342,0.5413844722801247,1.3072187638307975,,,,-8.72723550198506,this-run
per_seed,14,3,k,2,1,200,41,0.205,0.1549,0.2663,40147.4,0.9185219685761206,0.5856851847837329,1.4413580671211905,,,,-8.72723550198506,this-run
per_seed,14,3,k,3,1,200,36,0.18,0.1329,0.2391,46411.2,1.061829350219851,0.6645692315419678,1.6926528381670307,,,,-8.72723550198506,this-run
per_seed,14,3,k,4,1,200,37,0.185,0.1373,0.2446,45023.6,1.0300823719783132,0.6471384299295065,1.6484039247870288,,,,-8.72723550198506,this-run
per_seed,14,3,k,5,1,200,36,0.18,0.1329,0.2391,46411.2,1.061829350219851,0.6645692315419678,1.6926528381670307,,,,-8.72723550198506,this-run
per_seed,14,3,bits,6,1,200,16,0.08,0.0498,0.126,110460.1,2.5271883572033498,1.4452341563675675,4.976048174904565,,,,-8.72723550198506,dedup(span@4)
per_seed,14,4,baseline,0,1,200,39,0.195,0.1461,0.2554,42461.0,1.0,nan,nan,,,,-5.4563622079208525,this-run
per_seed,14,4,bits,2,1,200,12,0.06,0.0347,0.1019,148853.0,3.5056417983445907,1.9627491269073216,7.598283894357128,,,,-5.4563622079208525,this-run
per_seed,14,4,bits,3,1,200,21,0.105,0.0697,0.1552,83027.2,1.9553768123388107,1.1798397237995173,3.5073161544625884,,,,-5.4563622079208525,this-run
per_seed,14,4,bits,4,1,200,18,0.09,0.0577,0.1378,97659.6,2.2999834459862862,1.3639113565216079,4.310033962836929,,,,-5.4563622079208525,this-run
per_seed,14,4,bits,5,1,200,25,0.125,0.0861,0.178,68975.1,1.6244345041282697,1.0,2.782307756803971,,,,-5.4563622079208525,this-run
per_seed,14,4,bits,8,1,200,20,0.1,0.0657,0.1494,87417.4,2.0587693616461635,1.2354197596889573,3.7076633127606224,,,,-5.4563622079208525,this-run
per_seed,14,4,span,2.0,1,200,1,0.005,0.0009,0.0278,1837459.1,43.27405320484653,11.143488665117511,56.06686978910743,,,,-5.4563622079208525,this-run
per_seed,14,4,span,3.0,1,200,5,0.025,0.0107,0.0572,363789.0,8.567605919839975,4.046777583672614,38.106888404933194,,,,-5.4563622079208525,this-run
per_seed,14,4,span,4.0,1,200,24,0.12,0.082,0.1723,72049.6,1.6968417479844113,1.0363017535583083,2.942262671290534,,,,-5.4563622079208525,this-run
per_seed,14,4,span,6.0,1,200,45,0.225,0.1726,0.2877,36134.3,0.8509988117703575,0.5495723045093148,1.3024645263524781,,,,-5.4563622079208525,this-run
per_seed,14,4,span,8.0,1,200,39,0.195,0.1461,0.2554,42461.0,1.0,0.6353133330145232,1.5740264654214964,,,,-5.4563622079208525,this-run
per_seed,14,4,k,1,1,200,50,0.25,0.1951,0.3143,32015.7,0.7540024990605941,0.4894342860940966,1.1364908498598802,,,,-5.4563622079208525,this-run
per_seed,14,4,k,2,1,200,45,0.225,0.1726,0.2877,36134.3,0.8509988117703575,0.5495723045093148,1.3024645263524781,,,,-5.4563622079208525,this-run
per_seed,14,4,k,3,1,200,44,0.22,0.1682,0.2824,37069.5,0.8730250940266976,0.5548788205271534,1.3452442506201652,,,,-5.4563622079208525,this-run
per_seed,14,4,k,4,1,200,48,0.24,0.1861,0.3037,33560.9,0.7903931449470903,0.5123563757451198,1.2145710598187605,,,,-5.4563622079208525,this-run
per_seed,14,4,k,5,1,200,49,0.245,0.1906,0.309,32772.6,0.7718293061057199,0.49878317309983744,1.1833353623615621,,,,-5.4563622079208525,this-run
per_seed,14,4,bits,6,1,200,24,0.12,0.082,0.1723,72049.6,1.6968417479844113,1.0363017535583083,2.942262671290534,,,,-5.4563622079208525,dedup(span@4)
per_seed,20,0,baseline,0,1,200,98,0.49,0.4216,0.5588,13678.5,1.0,nan,nan,,,,-15.953545212538145,this-run
per_seed,20,0,bits,2,1,200,14,0.07,0.0422,0.1141,126915.4,9.278463894457216,5.631306652740896,18.899744459359596,,,,-15.953545212538145,this-run
per_seed,20,0,bits,3,1,200,21,0.105,0.0697,0.1552,83027.2,6.069909671969183,3.9334258084455826,10.613943736956404,,,,-15.953545212538145,this-run
per_seed,20,0,bits,4,1,200,15,0.075,0.046,0.12,118139.5,8.636880961690077,5.328419048285342,17.03833888015731,,,,-15.953545212538145,this-run
per_seed,20,0,bits,5,1,200,14,0.07,0.0422,0.1141,126915.4,9.278463894457216,5.631306652740896,18.899744459359596,,,,-15.953545212538145,this-run
per_seed,20,0,bits,8,1,200,14,0.07,0.0422,0.1141,126915.4,9.278463894457216,5.631306652740896,18.899744459359596,,,,-15.953545212538145,this-run
per_seed,20,0,span,2.0,1,200,1,0.005,0.0009,0.0278,1837459.1,134.33195711226114,35.30961849152067,159.30195184948317,,,,-15.953545212538145,this-run
per_seed,20,0,span,3.0,1,200,3,0.015,0.0051,0.0432,609405.9,44.55211655370611,18.757483126280015,148.515563790571,,,,-15.953545212538145,this-run
per_seed,20,0,span,4.0,1,200,14,0.07,0.0422,0.1141,126915.4,9.278463894457216,5.631306652740896,18.899744459359596,,,,-15.953545212538145,this-run
