instance,term,kind,aliased_with,low,high,effect_log,effect_lo,effect_hi,factor,factor_lo,factor_hi,resolved
ER14,rail,main,,8.0,12.0,-0.20211053822962405,-0.4363152572639611,0.032892183760205064,0.8170046127072021,0.6464139071297,1.0334391117154829,False
ER14,bits,main,,4,6,0.33630362104227873,0.1062438986472797,0.5749801528195422,1.399763958090223,1.1120930814301393,1.7770952562337865,True
ER14,resetk,main,,0.3,0.19,-0.06155210033354275,-0.2907005413042251,0.17221689941476379,0.9403039543135536,0.7477395616083725,1.1879354677802412,False
ER14,flip,main,,0.0008230995366729776,0.0,-0.10104213478187435,-0.33440034080581715,0.14024429798937946,0.9038949466670774,0.7157671740533248,1.1505548427613566,False
ER14,cv,main,,0.077,0.0,0.08469645597088804,-0.15097762894328917,0.3163179486298675,1.0883866432849743,0.8598669345759979,1.3720664329238166,False
ER14,hoff,main,,0.1,0.0,-1.1857701724395533,-1.4241683094040147,-0.950936547474587,0.3055107928735441,0.2407085750394765,0.38637899168209894,True
ER14,rail*bits,2fi,resetk*cv,,,-0.0608003342678827,-0.29959917529188734,0.16842612614085856,0.9410111086918408,0.7411152184468321,1.1834407982767214,False
ER14,rail*resetk,2fi,bits*cv,,,0.0530057945735333,-0.17747800014159953,0.28269454568880426,1.0544357551071726,0.8373794213618095,1.3266998537287729,False
ER14,rail*flip,2fi,cv*hoff,,,-0.04487656671016349,-0.27362404808498525,0.18691502554153763,0.9561154910303399,0.7606179772999656,1.2055248418768585,False
ER14,rail*cv,2fi,bits*resetk=flip*hoff,,,-0.10140264327651649,-0.3356400484234282,0.13694001823908114,0.9035691435914566,0.7148803818303261,1.1467593618115732,False
ER14,rail*hoff,2fi,flip*cv,,,0.07583329004684561,-0.1580636440935886,0.307295369828755,1.078782715349634,0.8537954412023002,1.3597425356834985,False
ER14,bits*flip,2fi,resetk*hoff,,,0.10688945993748439,-0.12254688953632999,0.33796971760794153,1.1128112374565398,0.884664422466367,1.4020980438797666,False
ER14,resetk*flip,2fi,bits*hoff,,,-0.059392881368874995,-0.29229612037180636,0.16833222265532974,0.942336469977773,0.7465474353346487,1.1833296742783932,False
G1,rail,main,,8.0,12.0,-1.4739861555839773,-1.7836473845429945,-1.2021194101794181,0.22901079069848373,0.16802417946588105,0.3005565338229092,True
G1,bits,main,,4,6,-0.028155892446561026,-0.339918927144341,0.2575550355643672,0.972236790614837,0.7118280303544774,1.2937630119985266,False
G1,resetk,main,,0.3,0.19,-0.25061980777219794,-0.5621687623829061,0.03187410487540561,0.7783182258548683,0.5699715894973176,1.0323875245672844,False
G1,flip,main,,0.0008230995366729776,0.0,-1.6132254139438502,-1.9290430241764565,-1.3374738697122643,0.1992439324054541,0.14528716828516786,0.26250796102074325,True
G1,cv,main,,0.077,0.0,0.07871120231959705,-0.22828321608005514,0.3558248636250356,1.0818918290981734,0.7958988165694323,1.4273575441460167,False
G1,hoff,main,,0.1,0.0,-1.104849792015592,-1.4118847841203124,-0.8274361863166695,0.33126063649766624,0.2436835591466165,0.4371686697805725,True
G1,rail*bits,2fi,resetk*cv,,,-0.09911753853712102,-0.38749783399202703,0.19772005999780562,0.9056362546069514,0.678753104434458,1.218621205244835,False
G1,rail*resetk,2fi,bits*cv,,,0.2598689250643754,-0.020713617016408364,0.5649600962795945,1.2967601027787095,0.9794994363773821,1.7593775756101973,False
G1,rail*flip,2fi,cv*hoff,,,-0.340920079993454,-0.6110001628977274,-0.032068607843611284,0.711115738309909,0.5428077013681758,0.9684401372104234,True
G1,rail*cv,2fi,bits*resetk=flip*hoff,,,-0.1862918225279544,-0.4686877900290437,0.1250167753943974,0.8300313377923233,0.6258229408205959,1.13316746223848,False
G1,rail*hoff,2fi,flip*cv,,,0.9980320768656974,0.7235336086069325,1.3107837927708224,2.7129377188863835,2.0617056148672943,3.7090797230796255,True
G1,bits*flip,2fi,resetk*hoff,,,0.21306163365318076,-0.07207856142344286,0.5183081271315145,1.237460918130326,0.9304577948509686,1.6791842787436522,False
G1,resetk*flip,2fi,bits*hoff,,,-0.22553120038932106,-0.5115955669287453,0.07964303134791151,0.7980921592733464,0.599538211900455,1.0829004371621778,False
