instance,n_sweeps,beta0,betaf,p_success,tts_99_wall,time_median,cut_best,cut_median,cut_bks,n_trials,update_mode,schedule
G1,10000,0.1,2.0,0.01,405.64184121571014,0.8852738499990664,11624.0,11619.0,11624.0,100,async_numba,geometric
G1,10000,0.1,5.0,0.53,5.065536594269449,0.8305001499829814,11624.0,11624.0,11624.0,100,async_numba,geometric
G1,10000,0.1,10.0,0.71,3.2670025280695922,0.8781735499796923,11624.0,11624.0,11624.0,100,async_numba,geometric
G1,10000,0.1,20.0,0.65,3.6441861103698487,0.8307504500262439,11624.0,11624.0,11624.0,100,async_numba,geometric
G1,10000,0.1,50.0,0.49,5.67542180828391,0.8298312999831978,11624.0,11621.0,11624.0,100,async_numba,geometric
